subj_code,seed,word,color,trial_type,orientation
S1,101,red,green,incongruent,upside_down
S1,101,orange,red,incongruent,upside_down
S1,101,blue,blue,congruent,upright
S1,101,red,red,congruent,upright
S1,101,yellow,green,incongruent,upright
S1,101,yellow,red,incongruent,upside_down
S1,101,orange,blue,incongruent,upside_down
S1,101,orange,orange,congruent,upside_down
S1,101,red,red,congruent,upside_down
S1,101,orange,orange,congruent,upright
S1,101,green,red,incongruent,upright
S1,101,green,green,congruent,upside_down
S1,101,orange,orange,congruent,upright
S1,101,yellow,yellow,congruent,upright
S1,101,blue,blue,congruent,upside_down
S1,101,orange,orange,congruent,upside_down
S1,101,green,yellow,incongruent,upright
S1,101,yellow,orange,incongruent,upright
S1,101,green,blue,incongruent,upright
S1,101,orange,orange,congruent,upside_down
S1,101,orange,orange,congruent,upright
S1,101,green,red,incongruent,upside_down
S1,101,red,red,congruent,upright
S1,101,red,green,incongruent,upside_down
S1,101,orange,yellow,incongruent,upside_down
S1,101,orange,orange,congruent,upside_down
S1,101,orange,orange,congruent,upside_down
S1,101,green,green,congruent,upright
S1,101,green,green,congruent,upside_down
S1,101,yellow,orange,incongruent,upside_down
S1,101,green,blue,incongruent,upside_down
S1,101,green,red,incongruent,upright
S1,101,blue,red,incongruent,upright
S1,101,yellow,yellow,congruent,upright
S1,101,yellow,yellow,congruent,upside_down
S1,101,blue,green,incongruent,upside_down
S1,101,blue,green,incongruent,upright
S1,101,red,red,congruent,upright
S1,101,red,red,congruent,upside_down
S1,101,green,green,congruent,upside_down
S1,101,yellow,yellow,congruent,upright
S1,101,red,blue,incongruent,upright
S1,101,yellow,orange,incongruent,upright
S1,101,red,green,incongruent,upside_down
S1,101,red,green,incongruent,upright
S1,101,red,green,incongruent,upside_down
S1,101,yellow,red,incongruent,upside_down
S1,101,orange,orange,congruent,upright
S1,101,blue,yellow,incongruent,upright
S1,101,green,red,incongruent,upside_down
S1,101,yellow,blue,incongruent,upside_down
S1,101,blue,green,incongruent,upside_down
S1,101,orange,red,incongruent,upside_down
S1,101,blue,blue,congruent,upside_down
S1,101,yellow,yellow,congruent,upside_down
S1,101,orange,green,incongruent,upside_down
S1,101,red,red,congruent,upside_down
S1,101,orange,orange,congruent,upside_down
S1,101,green,yellow,incongruent,upright
S1,101,green,green,congruent,upright
S1,101,green,green,congruent,upright
S1,101,orange,green,incongruent,upright
S1,101,blue,blue,congruent,upright
S1,101,yellow,blue,incongruent,upside_down
S1,101,red,yellow,incongruent,upside_down
S1,101,blue,blue,congruent,upright
S1,101,red,red,congruent,upside_down
S1,101,yellow,green,incongruent,upright
S1,101,red,red,congruent,upright
S1,101,yellow,yellow,congruent,upside_down
S1,101,orange,orange,congruent,upright
S1,101,blue,green,incongruent,upside_down
S1,101,blue,orange,incongruent,upright
S1,101,orange,red,incongruent,upside_down
S1,101,orange,orange,congruent,upside_down
S1,101,red,red,congruent,upside_down
S1,101,red,red,congruent,upright
S1,101,orange,orange,congruent,upright
S1,101,orange,yellow,incongruent,upside_down
S1,101,red,blue,incongruent,upright
S1,101,yellow,yellow,congruent,upright
S1,101,yellow,orange,incongruent,upright
S1,101,red,blue,incongruent,upright
S1,101,red,red,congruent,upright
S1,101,orange,blue,incongruent,upside_down
S1,101,orange,orange,congruent,upside_down
S1,101,green,orange,incongruent,upright
S1,101,yellow,yellow,congruent,upright
S1,101,green,orange,incongruent,upright
S1,101,yellow,blue,incongruent,upright
S1,101,blue,blue,congruent,upright
S1,101,orange,orange,congruent,upright
S1,101,red,red,congruent,upside_down
S1,101,blue,yellow,incongruent,upright
S1,101,yellow,red,incongruent,upside_down
S1,101,yellow,red,incongruent,upright
S1,101,blue,yellow,incongruent,upright
S1,101,green,green,congruent,upside_down
S1,101,blue,blue,congruent,upside_down
S1,101,blue,blue,congruent,upside_down
